day,date,month,start,end,title,pdf,ipynb,speaker,institution,youtube
Monday,14,September,8:00,9:00,**Arrivals**,,,,,
Monday,14,September,9:00,10:30,**Introduction to GPs**,./talks/gp_gpss14_session1.pdf,,Neil Lawrence,University of Sheffield,
Monday,14,September,10:30,11:00,**Coffee Break**,,,,,
Monday,14,September,11:00,12:30,**TBA**,,,Jeremy Oakley,University of Sheffield,
Monday,14,September,12:30,13:45,**Lunch Break**,,,,,
Monday,14,September,13:15,15:30,**Lab Session 1** Gaussian Process Models with GPy,,./talks/GPSS_Lab1.ipynb,,,
Monday,14,September,15:30,16:00,**Tea Break**,,,,,
Monday,14,September,16:00,17:00,**TBA**,,,Nicolas Durrande,Ecole de Mine de St Etienne,
Tuesday,15,September,8:00,9:00,**Arrivals**,,,,,
Tuesday,15,September,9:00,10:30,**Fitting Covariance and Multi-output Gaussian Processes**,./talks/gp_gpss15_session2.pdf,,Neil Lawrence, University of Sheffield,
Tuesday,15,September,10:30,11:00,**Coffee Break**,,,,,
Tuesday,15,September,11:00,12:00,**Sparse Gaussian Processes**,./talks/sparse_GPs.pdf,./talks/demo_sparse.ipynb,James Hensman, University of Sheffield
Tuesday,15,September,12:00,12:45,**TBA**,./talks/ep.pdf,,TBA,
Tuesday,15,September,12:45,13:30,**Lunch Break**,,,,,
Tuesday,15,September,13:30,15:30,**Lab Session 2** Gaussian Process for Classification and Sparse Gaussian Processes,,./talks/GPSS_Lab2.ipynb,,,
Tuesday,15,September,15:30,16:00,**Tea Break**,,,,,
Tuesday,15,September,16:00,17:30,"**TBA**",,,Marc Deisenroth,Imperial College,
Tuesday,15,September,18:00,20:00,**Social Event**,,,,,
Wednesday,16,September,8:30,9:00,**Arrivals**,,,,,
Wednesday,16,September,9:00,10:30,**Global Optimization with Gaussian Processes**,,,Javier González,University of Sheffield,
Wednesday,16,September,10:30,11:00,**Coffee Break**,,,,,
Wednesday,16,September,11:00,12:30,**TBA**,,,Nando de Freitas,"University of Oxford and Google DeepMind",
Wednesday,16,September,12:30,13:30,**Lunch Break**,,,,,
Wednesday,16,September,13:30,15:30,**Lab Session 3** Latent Variable Models,,,,,,
Wednesday,16,September,15:30,16:00,**Tea Break**,,,,,
Wednesday,16,September,16:00,17:00,**TBA*,,,Rich Wilkinson,University of Nottingham,
Wednesday,16,September,18:00,20:00,**Social Event (Group 2)**,,,,,
Thursday,17,September,,,Gaussian Processes for Global Optimization Workshop,../gpgo15/,,,,
